City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
109,Gazanjyk,TM,78.73,39.2446,55.5154,Railway motel
110,Hasaki,JP,61.2,35.7333,140.8333,Inubosaki Kanko Hotel
111,Tucuma,BR,77.99,-0.1833,-50.05,
114,Xiaoweizhai,CN,67.71,26.1903,107.5125,Karst Youth Hostel
118,Dhidhdhoo,MV,82.33,6.8833,73.1,Dhidhoo beach
120,Arraial Do Cabo,BR,73.26,-22.9661,-42.0278,Pousada Porto Praia
121,Port Blair,IN,81.55,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
126,Sao Filipe,CV,72.68,14.8961,-24.4956,Hotel Xaguate
128,Port Hardy,CA,60.98,50.6996,-127.4199,Airport Inn-Port Hardy
129,Saint-Pierre,RE,67.91,-21.3393,55.4781,Alize Plage
134,Zhigansk,RU,62.58,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
135,Los Llanos De Aridane,ES,65.95,28.6585,-17.9182,Valle Aridane
136,Antalaha,MG,70.05,-14.9003,50.2788,Hotel Vitasoa
138,Portland,US,75.33,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
139,Aksum,ET,67.23,14.1245,38.7244,Remhai Hotel
140,Fomboni,KM,79.63,-12.28,43.7425,Auberge les abou
144,Marienburg,PL,62.11,54.0359,19.0266,Hotel Centrum Malbork
146,Cervo,ES,61.97,43.6702,-7.4101,Hotel Spa Galatea
148,Amahai,ID,77.23,-3.3333,128.9167,HOTEL ISABELA
151,Grand Gaube,MU,72.0,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
153,Santa Maria,BR,60.1,-29.6842,-53.8069,Hotel Morotin
156,Ilhabela,BR,68.45,-23.7781,-45.3581,Ilha Flat Hotel
157,Prado,BR,72.66,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
159,Kathmandu,NP,68.22,27.7167,85.3167,Hotel Shanker Kathmandu
162,Mount Pleasant,US,84.0,32.7941,-79.8626,Best Western Patriots Point
164,Mahajanga,MG,73.42,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
165,Lorengau,PG,81.75,-2.0226,147.2712,Lorengau Harbourside Hotel
167,Cap Malheureux,MU,70.47,-19.9842,57.6142,Pereybere Hotel & Spa
168,Gamba,GA,73.11,-2.65,10.0,
170,Domoni,KM,75.87,-12.2569,44.5319,Al Djadid
171,Thompson,CA,69.96,55.7435,-97.8558,Burntwood Hotel
173,Maues,BR,78.48,-3.3836,-57.7186,Hotel Miramar
174,Porto Novo,BJ,84.02,6.4965,2.6036,Tour Eiffel Hotel Benin
176,Faanui,PF,80.76,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
178,Kruisfontein,ZA,64.44,-34.0033,24.7314,Oyster Bay House Rental
179,Seoul,KR,64.0,37.5683,126.9778,롯데호텔 서울
181,Antofagasta,CL,60.08,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
182,San Cristobal,VE,75.38,7.7669,-72.225,Pirineos
185,Namibe,AO,71.6,-15.1961,12.1522,Hotel Chik Chik Namibe
187,Ribeira Grande,PT,66.6,38.5167,-28.7,Quinta da Meia Eira
189,Axim,GH,79.11,4.8699,-2.2405,Axim Beach Resort And Spa
192,Artyom,AZ,64.54,40.4723,50.333,Pir hos
198,Harrisonville,US,80.38,38.6533,-94.3488,Americas Best Value Inn & Suites Harrisonville
200,Birin,NP,64.09,26.8865,88.0718,Sangam hotel and lodge
201,Waingapu,ID,77.5,-9.6567,120.2641,Pondok Wisata Elim
202,Vilhena,BR,75.42,-12.7406,-60.1458,Hotel Mirage
204,Georgetown,MY,80.53,5.4112,100.3354,Cititel Penang
205,Sinazongwe,ZM,63.88,-17.2614,27.4618,Lakeview Lodge
206,Ambovombe,MG,64.54,-25.1667,46.0833,RELAHARA
208,Lata,PT,68.07,40.1629,-8.3327,Casa Maquia
211,Cabedelo,BR,77.67,-6.9811,-34.8339,Pousada Camboinha
212,Powassan,CA,68.86,46.0334,-79.3496,Munro Park Campgrounds
213,Nome,US,66.16,64.5011,-165.4064,Dredge 7 Inn
216,Mosquera,CO,60.89,4.7059,-74.2302,Hotel SJ
217,Tiarei,PF,84.22,-17.5333,-149.3333,Le Rocher de Tahiti
218,Concordia,AR,60.87,-31.393,-58.0209,Palmar Hotel Casino
220,Ponta Do Sol,PT,72.72,32.6667,-17.1,Hotel do Campo
222,Galle,LK,79.41,6.0367,80.217,Amangalla
224,Aketi,CD,68.22,2.7388,23.7833,
225,Sitka,US,64.29,57.0531,-135.33,Westmark Sitka
227,Pital,CO,75.06,2.2665,-75.8044,Finca el Rebaño Vida el Uvital
230,College,US,64.58,64.8569,-147.8028,Pike's Waterfront Lodge
232,Souillac,MU,71.98,-20.5167,57.5167,Shanti Maurice Resort & Spa
233,Haines Junction,CA,67.95,60.7522,-137.5108,Parkside Inn
234,Saldanha,ZA,60.85,-33.0117,17.9442,Blue Bay Lodge
235,Griffith,US,64.31,41.5284,-87.4237,Apartment above Depot Bar
236,Kamloops,CA,72.59,50.6665,-120.3192,Ramada by Wyndham Kamloops
237,Gardner,US,77.25,42.5751,-71.9981,Super 8 by Wyndham Gardner
238,Jacqueville,CI,80.29,5.2052,-4.4146,Hotel Le Martin Pecheur
242,Odienne,CI,80.33,9.51,-7.5692,Oustaz Vame DIAKITE
244,Kenitra,MA,68.76,34.261,-6.5802,Bienvenue chez vous
245,Baoro,CF,69.03,5.6667,15.9667,
246,Salalah,OM,84.29,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
247,The Valley,AI,84.81,18.217,-63.0578,CeBlue Villas & Beach Resort
248,Ermoupolis,GR,76.57,37.4423,24.9425,Ploes
249,Faro,PT,76.78,37.0194,-7.9322,Hotel Faro & Beach Club
250,Boa Vista,BR,84.18,2.8197,-60.6733,Aipana Plaza Hotel
252,Sao Joao Da Barra,BR,77.09,-21.6403,-41.0511,Pousada Porto De Canoas
254,Macomb,US,76.46,40.4592,-90.6718,Hampton Inn Macomb
256,Prachuap Khiri Khan,TH,72.66,12.2167,99.75,ผกากรองรีสอร์ท
258,Kenai,US,62.02,60.5544,-151.2583,Aspen Extended Stay Suites
260,Gizo,SB,81.25,-8.103,156.8419,Imagination Island
261,Florence,IT,71.67,43.7667,11.25,Hotel Nuova Italia
